time,depth,latitude,longitude,thetao
2025-10-01,0.494025,15.083333,70.750015,28.088408
2025-10-01,0.494025,15.083333,70.83335,28.110065
2025-10-01,0.494025,15.083333,70.91668,28.135931
2025-10-01,0.494025,15.083333,71.000015,28.156887
2025-10-01,0.494025,15.083333,71.08335,28.17009
2025-10-01,0.494025,15.083333,71.16668,28.172285
2025-10-01,0.494025,15.083333,71.250015,28.166573
2025-10-01,0.494025,15.083333,71.33335,28.15804
2025-10-01,0.494025,15.083333,71.41668,28.13989
2025-10-01,0.494025,15.083333,71.500015,28.110363
2025-10-01,0.494025,15.083333,71.58335,28.085371
2025-10-01,0.494025,15.083333,71.66668,28.068516
2025-10-01,0.494025,15.083333,71.750015,28.059626
2025-10-01,0.494025,15.083333,71.83335,28.062502
2025-10-01,0.494025,15.083333,71.91668,28.067434
2025-10-01,0.494025,15.083333,72.000015,28.064085
2025-10-01,0.494025,15.083333,72.08335,28.046545
2025-10-01,0.494025,15.083333,72.16668,28.029158
2025-10-01,0.494025,15.083333,72.250015,28.017696
2025-10-01,0.494025,15.083333,72.33335,28.014383
2025-10-01,0.494025,15.083333,72.41668,28.007938
2025-10-01,0.494025,15.083333,72.500015,27.998466
2025-10-01,0.494025,15.083333,72.58335,27.999027
2025-10-01,0.494025,15.083333,72.66668,28.005081
2025-10-01,0.494025,15.083333,72.750015,28.013493
2025-10-01,0.494025,15.083333,72.83335,28.017973
2025-10-01,0.494025,15.083333,72.91668,28.018805
2025-10-01,0.494025,15.083333,73.000015,28.00936
2025-10-01,0.494025,15.083333,73.08335,28.015764
2025-10-01,0.494025,15.083333,73.16668,28.048409
2025-10-01,0.494025,15.083333,73.250015,28.044485
2025-10-01,0.494025,15.083333,73.33335,28.00705
2025-10-01,0.494025,15.083333,73.41668,27.889051
2025-10-01,0.494025,15.083333,73.500015,27.641615
2025-10-01,0.494025,15.083333,73.58335,27.44009
2025-10-01,0.494025,15.083333,73.66668,27.21189
2025-10-01,0.494025,15.083333,73.750015,26.980232
2025-10-01,0.494025,15.083333,73.83335,26.849945
2025-10-01,0.494025,15.083333,73.91668,26.96161
2025-10-01,0.494025,15.166667,68.000015,27.56502
2025-10-01,0.494025,15.166667,68.08335,27.584969
2025-10-01,0.494025,15.166667,68.16668,27.6083
2025-10-01,0.494025,15.166667,68.250015,27.627151
2025-10-01,0.494025,15.166667,68.33335,27.644314
2025-10-01,0.494025,15.166667,68.41668,27.670988
2025-10-01,0.494025,15.166667,68.500015,27.72056
2025-10-01,0.494025,15.166667,68.58335,27.788689
2025-10-01,0.494025,15.166667,68.66668,27.852697
2025-10-01,0.494025,15.166667,68.750015,27.897486
2025-10-01,0.494025,15.166667,68.83335,27.931065
2025-10-01,0.494025,15.166667,68.91668,27.957994
2025-10-01,0.494025,15.166667,69.000015,27.981865
2025-10-01,0.494025,15.166667,69.08335,28.005442
2025-10-01,0.494025,15.166667,69.16668,28.022245
2025-10-01,0.494025,15.166667,69.250015,28.02947
2025-10-01,0.494025,15.166667,69.33335,28.028006
2025-10-01,0.494025,15.166667,69.41668,28.020555
2025-10-01,0.494025,15.166667,69.500015,28.012114
2025-10-01,0.494025,15.166667,69.58335,28.006134
2025-10-01,0.494025,15.166667,69.66668,28.001566
2025-10-01,0.494025,15.166667,69.750015,27.992035
2025-10-01,0.494025,15.166667,69.83335,27.977325
2025-10-01,0.494025,15.166667,69.91668,27.958834
2025-10-01,0.494025,15.166667,70.000015,27.936144
2025-10-01,0.494025,15.166667,70.08335,27.920284
2025-10-01,0.494025,15.166667,70.16668,27.920004
2025-10-01,0.494025,15.166667,70.250015,27.94607
2025-10-01,0.494025,15.166667,70.33335,27.98356
2025-10-01,0.494025,15.166667,70.41668,28.018454
2025-10-01,0.494025,15.166667,70.500015,28.045904
2025-10-01,0.494025,15.166667,70.58335,28.059778
2025-10-01,0.494025,15.166667,70.66668,28.071228
2025-10-01,0.494025,15.166667,70.750015,28.08335
2025-10-01,0.494025,15.166667,70.83335,28.105085
2025-10-01,0.494025,15.166667,70.91668,28.131973
2025-10-01,0.494025,15.166667,71.000015,28.151005
2025-10-01,0.494025,15.166667,71.08335,28.157642
2025-10-01,0.494025,15.166667,71.16668,28.15351
2025-10-01,0.494025,15.166667,71.250015,28.144646
2025-10-01,0.494025,15.166667,71.33335,28.130867
2025-10-01,0.494025,15.166667,71.41668,28.108816
2025-10-01,0.494025,15.166667,71.500015,28.082127
2025-10-01,0.494025,15.166667,71.58335,28.061966
2025-10-01,0.494025,15.166667,71.66668,28.047113
2025-10-01,0.494025,15.166667,71.750015,28.040483
2025-10-01,0.494025,15.166667,71.83335,28.040312
2025-10-01,0.494025,15.166667,71.91668,28.040268
2025-10-01,0.494025,15.166667,72.000015,28.037382
2025-10-01,0.494025,15.166667,72.08335,28.023605
2025-10-01,0.494025,15.166667,72.16668,28.013264
2025-10-01,0.494025,15.166667,72.250015,28.000391
2025-10-01,0.494025,15.166667,72.33335,28.004995
2025-10-01,0.494025,15.166667,72.41668,27.998348
2025-10-01,0.494025,15.166667,72.500015,27.98992
2025-10-01,0.494025,15.166667,72.58335,27.99399
2025-10-01,0.494025,15.166667,72.66668,28.005371
2025-10-01,0.494025,15.166667,72.750015,28.016384
2025-10-01,0.494025,15.166667,72.83335,28.0268
2025-10-01,0.494025,15.166667,72.91668,28.02249
2025-10-01,0.494025,15.166667,73.000015,28.018734
2025-10-01,0.494025,15.166667,73.08335,28.03088
2025-10-01,0.494025,15.166667,73.16668,28.06139
2025-10-01,0.494025,15.166667,73.250015,28.048029
2025-10-01,0.494025,15.166667,73.33335,27.981579
2025-10-01,0.494025,15.166667,73.41668,27.828875
2025-10-01,0.494025,15.166667,73.500015,27.576992
2025-10-01,0.494025,15.166667,73.58335,27.33977
2025-10-01,0.494025,15.166667,73.66668,27.056791
2025-10-01,0.494025,15.166667,73.750015,26.862032
2025-10-01,0.494025,15.166667,73.83335,26.854965
2025-10-01,0.494025,15.166667,73.91668,27.162687
2025-10-01,0.494025,15.25,68.000015,27.550474
2025-10-01,0.494025,15.25,68.08335,27.575752
2025-10-01,0.494025,15.25,68.16668,27.60264
2025-10-01,0.494025,15.25,68.250015,27.621935
2025-10-01,0.494025,15.25,68.33335,27.637295
2025-10-01,0.494025,15.25,68.41668,27.661654
2025-10-01,0.494025,15.25,68.500015,27.70518
2025-10-01,0.494025,15.25,68.58335,27.77526
2025-10-01,0.494025,15.25,68.66668,27.847439
2025-10-01,0.494025,15.25,68.750015,27.897963
2025-10-01,0.494025,15.25,68.83335,27.930145
2025-10-01,0.494025,15.25,68.91668,27.95557
2025-10-01,0.494025,15.25,69.000015,27.97609
2025-10-01,0.494025,15.25,69.08335,28.00059
2025-10-01,0.494025,15.25,69.16668,28.023066
2025-10-01,0.494025,15.25,69.250015,28.037924
2025-10-01,0.494025,15.25,69.33335,28.04136
2025-10-01,0.494025,15.25,69.41668,28.033516
