time,depth,latitude,longitude,chl
2025-10-01,0.49402538,15.0,68.0,0.18382607
2025-10-01,0.49402538,15.0,68.25,0.18766654
2025-10-01,0.49402538,15.0,68.5,0.20747216
2025-10-01,0.49402538,15.0,68.75,0.21773994
2025-10-01,0.49402538,15.0,69.0,0.17102621
2025-10-01,0.49402538,15.0,69.25,0.15299964
2025-10-01,0.49402538,15.0,69.5,0.1509765
2025-10-01,0.49402538,15.0,69.75,0.15314083
2025-10-01,0.49402538,15.0,70.0,0.158618
2025-10-01,0.49402538,15.0,70.25,0.14862324
2025-10-01,0.49402538,15.0,70.5,0.14991376
2025-10-01,0.49402538,15.0,70.75,0.14611176
2025-10-01,0.49402538,15.0,71.0,0.13988645
2025-10-01,0.49402538,15.0,71.25,0.13727136
2025-10-01,0.49402538,15.0,71.5,0.13747005
2025-10-01,0.49402538,15.0,71.75,0.13877627
2025-10-01,0.49402538,15.0,72.0,0.14263254
2025-10-01,0.49402538,15.0,72.25,0.16277866
2025-10-01,0.49402538,15.0,72.5,0.1614036
2025-10-01,0.49402538,15.0,72.75,0.16164196
2025-10-01,0.49402538,15.0,73.0,0.17156841
2025-10-01,0.49402538,15.0,73.25,0.2333162
2025-10-01,0.49402538,15.0,73.5,0.53005224
2025-10-01,0.49402538,15.0,73.75,1.1065229
2025-10-01,0.49402538,15.0,74.0,
2025-10-01,0.49402538,15.25,68.0,0.22088142
2025-10-01,0.49402538,15.25,68.25,0.18260215
2025-10-01,0.49402538,15.25,68.5,0.18959852
2025-10-01,0.49402538,15.25,68.75,0.22999007
2025-10-01,0.49402538,15.25,69.0,0.17625454
2025-10-01,0.49402538,15.25,69.25,0.15453163
2025-10-01,0.49402538,15.25,69.5,0.15162787
2025-10-01,0.49402538,15.25,69.75,0.151195
2025-10-01,0.49402538,15.25,70.0,0.14826213
2025-10-01,0.49402538,15.25,70.25,0.14885274
2025-10-01,0.49402538,15.25,70.5,0.15452777
2025-10-01,0.49402538,15.25,70.75,0.1455659
2025-10-01,0.49402538,15.25,71.0,0.13783166
2025-10-01,0.49402538,15.25,71.25,0.13726266
2025-10-01,0.49402538,15.25,71.5,0.13888763
2025-10-01,0.49402538,15.25,71.75,0.14073771
2025-10-01,0.49402538,15.25,72.0,0.14977415
2025-10-01,0.49402538,15.25,72.25,0.16493504
2025-10-01,0.49402538,15.25,72.5,0.1586128
2025-10-01,0.49402538,15.25,72.75,0.16149308
2025-10-01,0.49402538,15.25,73.0,0.17766705
2025-10-01,0.49402538,15.25,73.25,0.2908167
2025-10-01,0.49402538,15.25,73.5,0.68346167
2025-10-01,0.49402538,15.25,73.75,1.1667879
2025-10-01,0.49402538,15.25,74.0,
2025-10-01,0.49402538,15.5,68.0,0.3155729
2025-10-01,0.49402538,15.5,68.25,0.20312048
2025-10-01,0.49402538,15.5,68.5,0.1777181
2025-10-01,0.49402538,15.5,68.75,0.2082527
2025-10-01,0.49402538,15.5,69.0,0.1736265
2025-10-01,0.49402538,15.5,69.25,0.15469036
2025-10-01,0.49402538,15.5,69.5,0.15144685
2025-10-01,0.49402538,15.5,69.75,0.14936332
2025-10-01,0.49402538,15.5,70.0,0.1451094
2025-10-01,0.49402538,15.5,70.25,0.15825085
2025-10-01,0.49402538,15.5,70.5,0.1575163
2025-10-01,0.49402538,15.5,70.75,0.14674383
2025-10-01,0.49402538,15.5,71.0,0.13716832
2025-10-01,0.49402538,15.5,71.25,0.13814639
2025-10-01,0.49402538,15.5,71.5,0.14044963
2025-10-01,0.49402538,15.5,71.75,0.14519672
2025-10-01,0.49402538,15.5,72.0,0.15166368
2025-10-01,0.49402538,15.5,72.25,0.15569544
2025-10-01,0.49402538,15.5,72.5,0.1567735
2025-10-01,0.49402538,15.5,72.75,0.16295096
2025-10-01,0.49402538,15.5,73.0,0.18734413
2025-10-01,0.49402538,15.5,73.25,0.40365183
2025-10-01,0.49402538,15.5,73.5,0.86938167
2025-10-01,0.49402538,15.5,73.75,1.269157
2025-10-01,0.49402538,15.5,74.0,
2025-10-01,0.49402538,15.75,68.0,0.4453028
2025-10-01,0.49402538,15.75,68.25,0.26695445
2025-10-01,0.49402538,15.75,68.5,0.19228247
2025-10-01,0.49402538,15.75,68.75,0.19749893
2025-10-01,0.49402538,15.75,69.0,0.1703686
2025-10-01,0.49402538,15.75,69.25,0.1567639
2025-10-01,0.49402538,15.75,69.5,0.15299763
2025-10-01,0.49402538,15.75,69.75,0.15046217
2025-10-01,0.49402538,15.75,70.0,0.14676897
2025-10-01,0.49402538,15.75,70.25,0.15566444
2025-10-01,0.49402538,15.75,70.5,0.15833008
2025-10-01,0.49402538,15.75,70.75,0.15138565
2025-10-01,0.49402538,15.75,71.0,0.13934703
2025-10-01,0.49402538,15.75,71.25,0.14014229
2025-10-01,0.49402538,15.75,71.5,0.14369094
2025-10-01,0.49402538,15.75,71.75,0.14917098
2025-10-01,0.49402538,15.75,72.0,0.15387952
2025-10-01,0.49402538,15.75,72.25,0.15681654
2025-10-01,0.49402538,15.75,72.5,0.16056457
2025-10-01,0.49402538,15.75,72.75,0.16989699
2025-10-01,0.49402538,15.75,73.0,0.20167494
2025-10-01,0.49402538,15.75,73.25,0.57869536
2025-10-01,0.49402538,15.75,73.5,1.1143265
2025-10-01,0.49402538,15.75,73.75,
2025-10-01,0.49402538,15.75,74.0,
2025-10-01,0.49402538,16.0,68.0,0.54674774
2025-10-01,0.49402538,16.0,68.25,0.32782632
2025-10-01,0.49402538,16.0,68.5,0.21305098
2025-10-01,0.49402538,16.0,68.75,0.19590455
2025-10-01,0.49402538,16.0,69.0,0.19112442
2025-10-01,0.49402538,16.0,69.25,0.1781499
2025-10-01,0.49402538,16.0,69.5,0.1560801
2025-10-01,0.49402538,16.0,69.75,0.15033644
2025-10-01,0.49402538,16.0,70.0,0.14695945
2025-10-01,0.49402538,16.0,70.25,0.15201212
2025-10-01,0.49402538,16.0,70.5,0.15694366
2025-10-01,0.49402538,16.0,70.75,0.1556702
2025-10-01,0.49402538,16.0,71.0,0.14424516
2025-10-01,0.49402538,16.0,71.25,0.14152977
2025-10-01,0.49402538,16.0,71.5,0.14565733
2025-10-01,0.49402538,16.0,71.75,0.151698
2025-10-01,0.49402538,16.0,72.0,0.15635201
2025-10-01,0.49402538,16.0,72.25,0.15989162
2025-10-01,0.49402538,16.0,72.5,0.16815926
2025-10-01,0.49402538,16.0,72.75,0.18032193
2025-10-01,0.49402538,16.0,73.0,0.22014378
2025-10-01,0.49402538,16.0,73.25,0.7166729
2025-10-01,0.49402538,16.0,73.5,
2025-10-01,0.49402538,16.0,73.75,
2025-10-01,0.49402538,16.0,74.0,
2025-10-01,0.49402538,16.25,68.0,0.5835836
2025-10-01,0.49402538,16.25,68.25,0.33160165
2025-10-01,0.49402538,16.25,68.5,0.21685518
2025-10-01,0.49402538,16.25,68.75,0.20130824
2025-10-01,0.49402538,16.25,69.0,0.23700926
2025-10-01,0.49402538,16.25,69.25,0.25045267
2025-10-01,0.49402538,16.25,69.5,0.17454423
2025-10-01,0.49402538,16.25,69.75,0.15084966
2025-10-01,0.49402538,16.25,70.0,0.14801796
2025-10-01,0.49402538,16.25,70.25,0.15001
2025-10-01,0.49402538,16.25,70.5,0.15298602
2025-10-01,0.49402538,16.25,70.75,0.15508255
2025-10-01,0.49402538,16.25,71.0,0.14924145
2025-10-01,0.49402538,16.25,71.25,0.14290269
2025-10-01,0.49402538,16.25,71.5,0.14662777
2025-10-01,0.49402538,16.25,71.75,0.1540851
2025-10-01,0.49402538,16.25,72.0,0.1624679
2025-10-01,0.49402538,16.25,72.25,0.1652064
2025-10-01,0.49402538,16.25,72.5,0.17511165
2025-10-01,0.49402538,16.25,72.75,0.18843018
2025-10-01,0.49402538,16.25,73.0,0.23374389
2025-10-01,0.49402538,16.25,73.25,0.62893337
2025-10-01,0.49402538,16.25,73.5,
2025-10-01,0.49402538,16.25,73.75,
2025-10-01,0.49402538,16.25,74.0,
2025-10-01,0.49402538,16.5,68.0,0.52750593
2025-10-01,0.49402538,16.5,68.25,0.26752672
2025-10-01,0.49402538,16.5,68.5,0.20848563
2025-10-01,0.49402538,16.5,68.75,0.21836983
2025-10-01,0.49402538,16.5,69.0,0.25632662
2025-10-01,0.49402538,16.5,69.25,0.3081597
2025-10-01,0.49402538,16.5,69.5,0.24039806
2025-10-01,0.49402538,16.5,69.75,0.16086745
2025-10-01,0.49402538,16.5,70.0,0.1499474
2025-10-01,0.49402538,16.5,70.25,0.15033041
2025-10-01,0.49402538,16.5,70.5,0.15260276
2025-10-01,0.49402538,16.5,70.75,0.15492302
2025-10-01,0.49402538,16.5,71.0,0.15223096
2025-10-01,0.49402538,16.5,71.25,0.14618853
2025-10-01,0.49402538,16.5,71.5,0.14845493
2025-10-01,0.49402538,16.5,71.75,0.15720499
2025-10-01,0.49402538,16.5,72.0,0.16778809
2025-10-01,0.49402538,16.5,72.25,0.17286292
2025-10-01,0.49402538,16.5,72.5,0.18149832
2025-10-01,0.49402538,16.5,72.75,0.19490924
2025-10-01,0.49402538,16.5,73.0,0.24032617
2025-10-01,0.49402538,16.5,73.25,0.5989168
2025-10-01,0.49402538,16.5,73.5,
2025-10-01,0.49402538,16.5,73.75,
2025-10-01,0.49402538,16.5,74.0,
2025-10-01,0.49402538,16.75,68.0,0.36895677
2025-10-01,0.49402538,16.75,68.25,0.20602027
2025-10-01,0.49402538,16.75,68.5,0.22415121
2025-10-01,0.49402538,16.75,68.75,0.24855265
2025-10-01,0.49402538,16.75,69.0,0.2651116
2025-10-01,0.49402538,16.75,69.25,0.326607
2025-10-01,0.49402538,16.75,69.5,0.32863784
2025-10-01,0.49402538,16.75,69.75,0.20666113
2025-10-01,0.49402538,16.75,70.0,0.16840266
2025-10-01,0.49402538,16.75,70.25,0.15942213
2025-10-01,0.49402538,16.75,70.5,0.1567722
2025-10-01,0.49402538,16.75,70.75,0.15724856
2025-10-01,0.49402538,16.75,71.0,0.15448481
2025-10-01,0.49402538,16.75,71.25,0.14937605
2025-10-01,0.49402538,16.75,71.5,0.15186088
2025-10-01,0.49402538,16.75,71.75,0.16053043
2025-10-01,0.49402538,16.75,72.0,0.16799644
2025-10-01,0.49402538,16.75,72.25,0.17730473
2025-10-01,0.49402538,16.75,72.5,0.18825091
2025-10-01,0.49402538,16.75,72.75,0.20245071
2025-10-01,0.49402538,16.75,73.0,0.24794038
2025-10-01,0.49402538,16.75,73.25,0.3623489
2025-10-01,0.49402538,16.75,73.5,
2025-10-01,0.49402538,16.75,73.75,
2025-10-01,0.49402538,16.75,74.0,
2025-10-01,0.49402538,17.0,68.0,0.27281493
2025-10-01,0.49402538,17.0,68.25,0.17939991
